softmax_temp,likelihood_temp,mean_consistency,std_consistency,hard_accuracy,n_weeks
0.5,0.05,0.746118855298973,0.2968188707042655,0.9696969696969697,33
0.5,0.08,0.6487481642313587,0.35314325486791154,0.9696969696969697,33
0.5,0.1,0.6353982369306974,0.376976673590408,0.9696969696969697,33
0.5,0.15,0.59840453562373,0.40211963647126814,0.9696969696969697,33
0.5,0.2,0.5656366099661166,0.40722888825773773,0.9696969696969697,33
0.8,0.05,0.7085962030926917,0.3229788328851753,0.9696969696969697,33
0.8,0.08,0.6216645364596031,0.37055718541614685,0.9393939393939394,33
0.8,0.1,0.6131586572919054,0.3920265931520873,0.9696969696969697,33
0.8,0.15,0.5835441184286534,0.4127547933928744,0.9696969696969697,33
0.8,0.2,0.5700876404197222,0.42208993067072853,0.9393939393939394,33
1.0,0.05,0.672861797480358,0.3344803146578403,0.9696969696969697,33
1.0,0.08,0.5925360569585525,0.39344694565378757,0.9393939393939394,33
1.0,0.1,0.6019939656254859,0.3997416025599556,0.9696969696969697,33
1.0,0.15,0.5764760155800895,0.4178979008782202,0.9393939393939394,33
1.0,0.2,0.5649349263874572,0.4256363452036393,0.9393939393939394,33
1.2,0.05,0.6705816824492522,0.3500780557846854,0.9696969696969697,33
1.2,0.08,0.6115326262329004,0.39289082634696015,0.9393939393939394,33
1.2,0.1,0.5931492412336028,0.4059324799782946,0.9393939393939394,33
1.2,0.15,0.5710687728863294,0.42182886436218964,0.9393939393939394,33
1.2,0.2,0.5615033460210587,0.42863894669149066,0.9090909090909091,33
1.5,0.05,0.6493661103345983,0.36526226344234963,0.9696969696969697,33
1.5,0.08,0.5984657739816885,0.40201886311910984,0.9393939393939394,33
1.5,0.1,0.5831692502836531,0.4130242457435889,0.9393939393939394,33
1.5,0.15,0.565250472428027,0.42613878261777605,0.9090909090909091,33
1.5,0.2,0.5575157465010839,0.4313863357731037,0.8181818181818182,33
