feature,coef,abs_coef
open_low_gap,-11.120466342209276,11.120466342209276
weekday,-1.3026511114262334,1.3026511114262334
open,0.0,0.0
day,-0.0,0.0
high_low_ratio,-0.0,0.0
amplitude,-0.0,0.0
volume,0.0,0.0
month,-0.0,0.0
year,0.8083750796427618,0.8083750796427618
open_high_gap,4.093915833196157,4.093915833196157
low,124.90032472934122,124.90032472934122
high,296.7259122849122,296.7259122849122
