feature
open
high
low
volume
year
month
day
weekday
amplitude
open_high_gap
open_low_gap
high_low_ratio
intraday_range_ratio
vol_change_ratio
ma3
ma5
ma10
vol_ma5
ret_std5
close_lag1
open_lag1
volume_lag1
pct_change_lag1
close_lag2
open_lag2
volume_lag2
pct_change_lag2
close_lag3
open_lag3
volume_lag3
pct_change_lag3
close_lag5
open_lag5
volume_lag5
pct_change_lag5
