config_id,age_mode,industry_mode,icc_judge,icc_fan,age_coef_judge,age_coef_fan
global_full,global,full,0.11461379225635836,0.05544563415683749,-0.6931505032547514,-0.01129708423498286
season_full,by_season,full,0.12421939164903968,0.21637742494918108,-0.6953092089068839,-0.011080753635895339
global_noind,global,none,0.12296083117305845,0.06184675219253383,-0.6515322316470163,-0.010900537850098719
season_noind,by_season,none,0.13239783957601686,0.19932275965073173,-0.6646871094395823,-0.010995039516200174
